,E,z_PS,z_SS
0,0.98(22),0.0(3.3)e-07,4.4(4.4)e-07
1,1.1(32),0.0(3.3)e-07,4.4(4.4)e-07
2,1.2(32),0.0(3.3)e-07,4.4(4.4)e-07
3,1.3(32),0.0(3.3)e-07,4.4(4.4)e-07
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
