,E,z_PS,z_SS
0,0.62(22),0.0(3.3)e-07,4.4(4.4)e-07
1,0.95(22),0.0(3.3)e-07,4.4(4.4)e-07
2,1.08(22),0.0(3.3)e-07,4.4(4.4)e-07
3,1.2(22),0.0(3.3)e-07,4.4(4.4)e-07
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
